bird_id,bird_name,sci_bird_name,points,nest_type,no_of_eggs,wingspan,habitat_count,food_count,power_type
136,Tawny eagle,Anitibyx armatus,6,Ground,3,102,3,5,None
137,"Lizard, collared",Crotaphytus collaris,9,Platform,0,114,2,4,Played
138,"Owl, white-browed",Ninox superciliaris,6,Platform,5,107,1,5,Between turns
139,"Squirrel, palm",Funambulus pennati,0,Cavity,0,202,1,1,Played
140,"Jacana, african",Actophilornis africanus,4,Wild,5,57,1,1,Between turns
141,"Ringtail, common",Pseudocheirus peregrinus,1,Ground,2,206,3,1,Between turns
142,"Phascogale, red-tailed",Phascogale calura,8,Cavity,5,176,3,4,Between turns
143,Knob-nosed goose,Sarkidornis melanotos,7,Cavity,2,211,1,2,Round Ended
144,Downy woodpecker,Picoides pubescens,2,Platform,1,114,2,5,Round Ended
145,"Mongoose, banded",Mungos mungo,9,Bowl,3,185,3,4,Between turns
146,Common raccoon,Procyon lotor,9,Bowl,0,249,2,3,Played
147,Darwin ground finch (unidentified),Geospiza sp.,3,Cavity,0,193,1,4,Activated
148,Bonnet macaque,Macaca radiata,9,Platform,2,51,3,3,Played
149,Laughing dove,Streptopelia senegalensis,6,Cavity,3,163,1,5,None
150,"Goose, andean",Chloephaga melanoptera,0,Cavity,2,197,3,5,Between turns
151,House crow,Corvus brachyrhynchos,2,Bowl,1,213,1,1,Played
152,"Ferret, black-footed",Mustela nigripes,1,Cavity,6,193,2,1,Activated
153,"Lapwing, southern",Vanellus chilensis,7,Platform,6,97,2,3,Round Ended
154,"Bleu, blue-breasted cordon",Uraeginthus angolensis,0,Bowl,5,30,3,4,Between turns
155,Swainson's francolin,Francolinus swainsonii,1,Cavity,2,218,3,5,None
156,Eastern cottontail rabbit,Sylvilagus floridanus,4,Bowl,6,264,3,4,None
157,"Rhinoceros, black",Diceros bicornis,9,Platform,4,82,1,2,Round Ended
158,"Macaque, rhesus",Macaca mulatta,7,Bowl,1,127,1,2,Between turns
159,Gray heron,Ardea cinerea,7,Platform,4,116,3,2,None
160,Javanese cormorant,Phalacrocorax niger,2,Ground,1,15,3,4,Between turns
161,Canadian tiger swallowtail butterfly,Papilio canadensis,8,Bowl,5,115,2,5,None
162,Mississippi alligator,Alligator mississippiensis,2,Cavity,6,154,2,5,Between turns
163,Southern lapwing,Vanellus chilensis,0,Bowl,0,94,3,3,Activated
164,"Plover, blacksmith",Vanellus armatus,1,Ground,5,192,3,1,None
165,"Mynah, indian",Acridotheres tristis,5,Wild,3,78,3,1,Between turns
166,"Otter, north american river",Lutra canadensis,4,Cavity,4,188,2,1,Between turns
167,"Gull, southern black-backed",Larus dominicanus,9,Cavity,1,82,3,3,Activated
168,"Duiker, common",Sylvicapra grimma,5,Ground,1,88,1,4,Between turns
169,European stork,Ciconia ciconia,6,Wild,5,28,2,4,Activated
170,Yellow-headed caracara,Milvago chimachima,6,Platform,2,173,2,1,Played
171,"Swan, black",Cygnus atratus,0,Wild,5,121,3,4,Round Ended
172,Crowned eagle,Spizaetus coronatus,5,Cavity,1,95,3,1,Activated
173,Crab (unidentified),unavailable,8,Bowl,6,85,2,2,Activated
174,Purple moorhen,Porphyrio porphyrio,2,Cavity,1,80,2,2,Round Ended
175,"Lion, steller's sea",Eumetopias jubatus,8,Platform,3,75,3,3,None
176,Spotted-tailed quoll,Dasyurus maculatus,9,Bowl,3,250,3,4,Between turns
177,Burmese black mountain tortoise,Manouria emys,4,Cavity,4,199,2,3,None
178,Steller's sea lion,Eumetopias jubatus,1,Wild,2,199,3,5,Round Ended
179,Two-toed sloth,Choloepus hoffmani,3,Cavity,3,104,3,1,None
180,"Fox, cape",Vulpes chama,3,Bowl,5,34,1,1,Round Ended
181,"Cormorant, javanese",Phalacrocorax niger,7,Bowl,2,185,1,3,Played
182,Greater roadrunner,Geococcyx californianus,2,Cavity,3,243,2,1,Activated
183,White-browed sparrow weaver,Plocepasser mahali,3,Bowl,4,180,2,5,None
184,Nelson ground squirrel,Ammospermophilus nelsoni,4,Ground,2,73,2,4,Played
185,Caribou,Rangifer tarandus,4,Ground,4,127,3,5,Between turns
186,"Penguin, magellanic",Spheniscus magellanicus,9,Cavity,4,145,2,5,Played
187,Brown lemur,Lemur fulvus,1,Platform,3,118,3,5,None
188,Chestnut weaver,Ploceus rubiginosus,6,Bowl,6,203,1,5,Activated
189,"Flamingo, lesser",Phoeniconaias minor,9,Cavity,4,123,3,3,None
190,"Gecko, ring-tailed",Cyrtodactylus louisiadensis,4,Cavity,5,143,3,2,None
191,"Squirrel, european red",Sciurus vulgaris,8,Ground,6,97,1,5,Activated
192,Paradoxure,Paradoxurus hermaphroditus,9,Bowl,0,201,3,1,None
193,"Mongoose, small indian",Herpestes javanicus,7,Cavity,4,212,1,5,None
194,"Chipmunk, least",Eutamias minimus,2,Cavity,0,107,2,1,Activated
195,"Lemur, brown",Lemur fulvus,1,Ground,2,248,2,3,Between turns
196,"Lion, steller's sea",Eumetopias jubatus,3,Ground,0,212,2,3,Round Ended
197,Black rhinoceros,Diceros bicornis,4,Ground,5,110,1,3,None
198,"Macaque, bonnet",Macaca radiata,6,Platform,0,88,2,2,Between turns
199,Dama wallaby,Macropus eugenii,2,Wild,3,22,3,2,None
200,White-winged dove,Zenaida asiatica,3,Wild,3,201,2,1,Played
